source_id,source_name,priority_tier,allowability_class,raw_allowability_value,on_watchlist
FEDERAL-REGISTER-PUBLIC-INSP-52593C,Federal Register Public Inspection API,Tier 1,unknown,UNKNOWN,False
FHWA-OFFICE-OF-TRIBAL-TRANSP-6BBDFE,FHWA Office of Tribal Transportation — GovDelivery topic,Tier 1,unknown,n/a,False
FHWA-TRIBAL-TRANSPORTATION-P-E0C316,FHWA Tribal Transportation Program (TTP) formula,Tier 1,likely_allowable,likely-allowable,True
FTA-NOTICES-OF-FUNDING-INDEX-64580B,FTA Notices of Funding index,Tier 1,likely_allowable,likely-allowable,True
FTA-TRIBAL-GOVERNMENTS-HUB-5025A2,FTA Tribal Governments hub,Tier 1,likely_allowable,likely-allowable,True
FTA-TRIBAL-TRANSIT-COMPETITI-6A8E78,FTA Tribal Transit Competitive Program (5311(c)(1)(A)),Tier 1,likely_allowable,likely-allowable,True
FTA-TRIBAL-TRANSIT-FORMULA-P-5B93C7,FTA Tribal Transit Formula Program (5311(c)(1)(B)),Tier 1,likely_allowable,likely-allowable,True
FWS-TRIBAL-WILDLIFE-GRANTS-317EAA,FWS Tribal Wildlife Grants,Tier 1,likely_allowable,likely-allowable,True
FY2026-GAP-NATIONAL-NOFA-PDF-B0F5D3,FY2026 GAP National NOFA (PDF),Tier 1,clearly_allowable,clearly-allowable,True
FED-GRANTS,Grants.gov,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
GRANTS-GOV-SIMPLER-GRANTS-GO-F58A17,Grants.gov / Simpler.Grants.gov,Tier 1,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
GRANTS-GOV-DAILY-XML-EXTRACT-0F4A39,Grants.gov Daily XML Extract,Tier 1,likely_allowable,likely-allowable,True
GRANTS-GOV-FETCHOPPORTUNITY-33AA88,Grants.gov fetchOpportunity API,Tier 1,unknown,UNKNOWN,False
GRANTS-GOV-SAVED-SEARCH-EMAI-324B7D,Grants.gov saved-search email alerts,Tier 1,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
GRANTS-GOV-SEARCH2-API-2C1391,Grants.gov Search2 API,Tier 1,unknown,UNKNOWN,False
GRANTS-GOV-SEARCH2-REST-API-D3C9B4,Grants.gov Search2 REST API,Tier 1,likely_allowable,likely-allowable,True
GRANTS-GOV-XML-EXTRACT-V2-B4C8A6,Grants.gov XML Extract (v2),Tier 1,unknown,UNKNOWN,False
HAZARD-MITIGATION-GRANT-PROG-FD574C,Hazard Mitigation Grant Program (HMGP),Tier 1,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
HHS-HRSA,HRSA Find Funding,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
HRSA-FIND-GRANT-FUNDING-SEAR-7B9C92,HRSA Find Grant Funding search,Tier 1,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
HRSA-WHO-CAN-APPLY-ELIGIBILI-4CBD11,HRSA Who Can Apply (eligibility policy),Tier 1,unknown,n/a,False
HUD-IHBG-COMPETITIVE-IHBG-CO-AB76ED,HUD IHBG-Competitive (IHBG-COMP),Tier 1,sometimes_allowable,sometimes-allowable-depends-on-NOFO (HUD-426 Indirect Costs form + HUD-4123 Cost Summary in package),False
HUD-INDIAN-COMMUNITY-DEVELOP-905C41,HUD Indian Community Development Block Grant (ICDBG),Tier 1,clearly_allowable,clearly-allowable,True
HUD-INDIAN-HOUSING-BLOCK-GRA-9A8B5E,HUD Indian Housing Block Grant (IHBG),Tier 1,likely_allowable,likely-allowable (inferred from mandatory GEMS IHP/APR reporting; NO direct cost-principle language verified),True
HUD-ONAP,HUD Office of Native American Programs,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
HUD-ONAP-CODETALK-HUB-5CA7C5,HUD ONAP Codetalk Hub,Tier 1,clearly_allowable,clearly-allowable (ICDBG cites 24 CFR 1003.206),True
HUD-ONAP-DEAR-TRIBAL-LEADER-162C81,HUD ONAP Dear Tribal Leader Letters,Tier 1,unclear,unclear,False
IHS-DGM-FUNDING-OPPORTUNITIE-5927B7,IHS DGM Funding Opportunities index,Tier 1,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
HHS-IHS,IHS Funding Opportunities,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
IHS-SPECIAL-DIABETES-PROGRAM-7383FC,IHS Special Diabetes Program for Indians,Tier 1,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
IHS-TRIBAL-LEADER-LETTERS-DT-621AC4,IHS Tribal Leader Letters (DTLL/DUIOLL),Tier 1,unclear,unclear,False
DOI-BIA-GRANTS,Indian Affairs Grants,Tier 1,unclear,Varies,False
INDIAN-EDUCATION-FORMULA-GRA-465BFA,Indian Education Formula Grants (Title VI),Tier 1,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
EPA-GAP,Indian Environmental General Assistance Program,Tier 1,likely_allowable,Likely allowable,True
INDIAN-ENVIRONMENTAL-GENERAL-101276,Indian Environmental General Assistance Program (GAP),Tier 1,clearly_allowable,clearly-allowable,True
HUD-IHBG,Indian Housing Block Grant,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
DOC-NTIA,Internet for All Funding Programs,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
USDA-NIFA,NIFA Grants,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
NIH-GUIDE,NIH Guide for Grants and Contracts,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
NIH-GUIDE-WEEKLY-INDEX-6F7889,NIH Guide Weekly Index,Tier 1,clearly_allowable,clearly-allowable,True
NIH-NARCH-HEALTH-RESEARCH-PR-7CF645,NIH NARCH / Health Research Programs for Federally-Recognized Tribes,Tier 1,clearly_allowable,clearly-allowable,True
NIH-NARCH-TRIBAL-HEALTH-RESE-5244EE,NIH NARCH / Tribal Health Research Programs,Tier 1,clearly_allowable,clearly-allowable,True
NIH-THRO-CURATED-AI-AN-NOFO-BCF6F2,NIH THRO Curated AI/AN NOFO Index,Tier 1,clearly_allowable,clearly-allowable,True
NIH-TRIBAL-HEALTH-RESEARCH-O-26023A,NIH Tribal Health Research Office curated NOFO index,Tier 1,clearly_allowable,clearly-allowable,True
NPS-TRIBAL-HERITAGE-GRANTS-5AA482,NPS Tribal Heritage Grants,Tier 1,likely_allowable,likely-allowable,True
NSF-FUNDING,NSF Funding Opportunities,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
NSF-PROGRAM-ANNOUNCEMENTS-RS-2B3EFD,NSF Program Announcements RSS,Tier 1,likely_allowable,likely-allowable,True
NSF-TCUP-0C2ADB,NSF TCUP,Tier 1,likely_allowable,likely-allowable,True
ED-OIE,Office of Indian Education,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
DOE-INDIAN,Office of Indian Energy Funding,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
OPENFEMA-API-1BE851,OpenFEMA API,Tier 1,unknown,n/a,False
OVC-TRIBAL-VICTIM-SERVICES-S-C7D514,OVC Tribal Victim Services Set-Aside (TVSSA),Tier 1,likely_allowable,likely-allowable,True
OVW-FUNDING-OPPORTUNITIES-0F5CA2,OVW Funding Opportunities,Tier 1,unclear,unclear,False
DOJ-OVW,OVW Open Solicitations,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
OVW-TRIBAL-GOVERNMENTS-PROGR-65321B,OVW Tribal Governments Program,Tier 1,unclear,unclear,False
OVW-TRIBAL-SEXUAL-ASSAULT-SE-21385B,OVW Tribal Sexual Assault Services Program (TSASP),Tier 1,unclear,unclear,False
RECLAMATION-NATIVE-AMERICAN-73C846,Reclamation Native American Affairs Technical Assistance Program,Tier 1,likely_allowable,likely-allowable,True
USDA-RECONNECT,ReConnect Program,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
FED-SAM-AL,SAM.gov Assistance Listings,Tier 1,unclear,Unclear,False
SAM-GOV-ASSISTANCE-LISTINGS-BA260C,SAM.gov Assistance Listings and bulk data,Tier 1,unknown,UNKNOWN,False
SAM-GOV-ASSISTANCE-LISTINGS-4DBA70,SAM.gov Assistance Listings API,Tier 1,unknown,n/a,False
HHS-SAMHSA,SAMHSA Grants,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
SIMPLER-GRANTS-GOV-API-485D8E,Simpler.Grants.gov API,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
SIMPLER-GRANTS-GOV-EXTRACTS-92CF68,Simpler.Grants.gov Extracts,Tier 1,unknown,UNKNOWN,False
CISA-SLCGP,State and Local Cybersecurity Grant Program,Tier 1,likely_allowable,Likely allowable,True
FEMA-THSGP,Tribal Homeland Security Grant Program,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
TRIBAL-HOMELAND-SECURITY-GRA-C7317E,Tribal Homeland Security Grant Program (THSGP),Tier 1,unclear,unclear,False
TTP-SAFETY-FUND-TTPSF-D21956,TTP Safety Fund (TTPSF),Tier 1,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
USDA-FNA-FORMERLY-FNS-FDPIR-9B6D21,USDA FNA (formerly FNS) FDPIR,Tier 1,likely_allowable,"likely-allowable - VERIFIED ""USDA distributes both food and administrative funds to participating Indian Tribal Organizations and state agencies""",True
USDA-FNA-FDPIR-SELF-DETERMIN-69D5C6,USDA FNA FDPIR Self-Determination Demonstration Project,Tier 1,unclear,unclear,False
USDA-FNA-RSS-FEEDS-8-FEEDS-I-89D82C,USDA FNA RSS Feeds (8 feeds incl. FDPIR policy memos),Tier 1,unclear,unclear,False
USDA-NIFA-NOFO-LIST-RFA-LIST-0689AF,USDA NIFA NOFO List (RFA List),Tier 1,unclear,varies,False
USDA-NIFA-RFA-LIST-201A26,USDA NIFA RFA List,Tier 1,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
USDA-NIFA-TRIBAL-COLLEGES-RE-DEB1E1,USDA NIFA Tribal Colleges Research Grants Program (TCRGP),Tier 1,likely_allowable,likely-allowable,True
USDA-NIFA-TRIBAL-PROGRAMS-8F4CAD,USDA NIFA Tribal Programs,Tier 1,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
USDA-NIFA-TRIBAL-PROGRAMS-HU-43CE05,USDA NIFA Tribal Programs Hub,Tier 1,likely_allowable,likely-allowable,True
USDA-RD-ALL-PROGRAMS-DIRECTO-43D843,USDA RD All Programs Directory,Tier 1,unclear,unclear,False
USDA-RD-FEDERAL-FUNDING-OPPO-9761D9,USDA RD Federal Funding Opportunities,Tier 1,unclear,unclear,False
USDA-RD-TRIBAL-GOVDELIVERY-T-B85B07,USDA RD Tribal GovDelivery (Tribal Updates),Tier 1,unclear,unclear,False
USDA-RD-TRIBAL-RELATIONS-E1F93D,USDA RD Tribal Relations,Tier 1,unclear,unclear,False
USDA-RD,USDA Rural Development Funding,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
WIOA-SECTION-166-INA-PROGRAM-FCAFB6,WIOA Section 166 INA Programs (FOA-ETA-26-20),Tier 1,unclear,unclear,False
BUSH-FOUNDATION-COMMUNITY-IN-6BF0E6,Bush Foundation Community Innovation grants and PRIs,Tier 1,likely_allowable,likely-allowable - flexible and uncapped,True
FIRST-NATIONS-DEVELOPMENT-IN-FD2A9C,First Nations Development Institute Grantmaking,Tier 1,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
NATIVE-AMERICANS-IN-PHILANTH-34379B,Native Americans in Philanthropy Grantwatch,Tier 1,unclear,varies by listing,False
ADVANCE-SC-NATIVE-AMERICAN-A-2D8EF3,Advance SC Native American Affairs,Tier 1,unknown,n/a,False
CATAWBA-NATION-A16252,Catawba Nation,Tier 1,unknown,UNKNOWN,False
SC-ABSENCE-OF-A-CENTRAL-GRAN-772EF9,SC absence of a central grants portal,Tier 1,unknown,n/a,False
SC-DEPARTMENT-OF-ARCHIVES-AN-36C8D8,SC Department of Archives and History grants,Tier 1,unknown,UNKNOWN,False
SC-ED,SC Department of Education Grant Opportunities,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
SC-HOUSING-CHDO-CERTIFICATIO-C55EDF,SC Housing CHDO Certification,Tier 1,unknown,UNKNOWN,False
SC-OFFICE-OF-RESILIENCE-GRAN-E9A64E,SC Office of Resilience Grants Activities,Tier 1,unknown,not stated,False
SC-RECOGNIZED-NATIVE-AMERICA-1D4C73,SC Recognized Native American Indian Entities List,Tier 1,unknown,n/a,False
SC-DHHS,SCDHHS Grants,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
SCDHHS-GRANTS-RURAL-HEALTH-T-8E046C,SCDHHS Grants - Rural Health Transformation Program,Tier 1,unknown,"YES - electronic health records, remote patient monitoring, telehealth services and a statewide resource database platform are explicitly funded",False
SCDOT-GRANTS-AND-PUBLIC-TRAN-B221C6,SCDOT grants and public transit,Tier 1,likely_allowable,"likely-allowable (FTA allows capital, operating, planning and administrative expenses)",True
SC-EMD-HMGP,SCEMD Hazard Mitigation Grant Program,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
SCEMD-MITIGATION-HMGP-56206E,SCEMD Mitigation / HMGP,Tier 1,unknown,not stated,False
SC-EMD-PA,SCEMD Public Agency Assistance,Tier 1,sometimes_allowable,Sometimes allowable depending on incident/category,False
SCRA-TECH-CATALYST-FUND-72514E,SCRA Tech Catalyst Fund,Tier 1,likely_allowable,likely-allowable - explicitly a health technology fund,True
SC-BEAD,South Carolina Broadband Office BEAD,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
ACF-ADMINISTRATION-FOR-NATIV-D1050C,ACF Administration for Native Americans,Tier 2,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
HHS-ACL,ACL Funding Opportunities,Tier 2,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
ALASKA-NATIVE-EDUCATION-PROG-721C38,Alaska Native Education Program (84.356A),Tier 2,unclear,unclear,False
BIA-ACCESS-TO-CAPITAL-CLEARI-84B5EF,BIA Access to Capital Clearinghouse (cross-agency lead),Tier 2,unclear,unclear,False
BIA-INDIAN-BUSINESS-INCUBATO-7B7776,BIA Indian Business Incubators Program,Tier 2,unclear,unclear,False
BIA-LIVING-LANGUAGES-GRANT-P-A99235,BIA Living Languages Grant Program,Tier 2,unclear,unclear,False
BIA-NATIONAL-TRIBAL-BROADBAN-C5C1FD,BIA National Tribal Broadband Grant,Tier 2,unclear,unclear,False
BIA-NATIVE-AMERICAN-BUSINESS-E2D500,BIA Native American Business Development Institute (NABDI),Tier 2,likely_allowable,likely-allowable,True
BIA-SITEMAP-XML-9E37D6,BIA sitemap.xml,Tier 2,unknown,n/a,False
BIA-TRIBAL-ENERGY-DEVELOPMEN-409BC6,BIA Tribal Energy Development Capacity (TEDC),Tier 2,unclear,unclear,False
BIA-TRIBAL-TOURISM-GRANT-PRO-4C08D0,BIA Tribal Tourism Grant Program,Tier 2,likely_allowable,likely-allowable,True
DOI-BIE,Bureau of Indian Education,Tier 2,unclear,Varies,False
HHS-CDC,CDC Grants and Funding,Tier 2,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
CDC-HEALTHY-TRIBES-C6B4C6,CDC Healthy Tribes,Tier 2,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
CDC-TRIBAL-HEALTH-PROGRAMS-23E223,CDC tribal health programs,Tier 2,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
CDC-ATSDR-TRIBAL-ADVISORY-CO-81690E,CDC/ATSDR Tribal Advisory Committee,Tier 2,unknown,n/a,False
CLEAN-WATER-INDIAN-SET-ASIDE-628155,Clean Water Indian Set-Aside (CWISA),Tier 2,unknown,unlikely-allowable,False
DOE-OFFICE-OF-STATE-AND-COMM-8B2B66,DOE Office of State and Community Energy Programs (SCEP),Tier 2,unknown,UNKNOWN,False
DOE-TRIBAL-ENERGY-LOAN-GUARA-F214D5,DOE Tribal Energy Loan Guarantee Program,Tier 2,unknown,unlikely-allowable,False
DOJ-GOVDELIVERY-EMAIL-BULLET-7ABC99,DOJ GovDelivery email bulletins,Tier 2,unknown,n/a,False
DOJ-TRIBAL-ACCESS-PROGRAM-TA-E075AC,DOJ Tribal Access Program (TAP),Tier 2,unknown,unlikely-allowable,False
DOL-ETA-FUNDING-OPPORTUNITIE-F32B5A,DOL ETA Funding Opportunities (Office of Grants Management),Tier 2,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
DOT-PROGRAMS-WITH-UNVERIFIED-384004,"DOT programs with unverified tribal terms (RAISE, Bridge Investment, Rural Surface Transportation, PROTECT, FAA AIP, Thriving Communities, state HSIP pass-through)",Tier 2,unknown,UNKNOWN,False
DRINKING-WATER-INFRASTRUCTUR-6BCBF4,Drinking Water Infrastructure Grants — Tribal Set-Aside (DWIG-TSA),Tier 2,unknown,unlikely-allowable,False
ED-AVAILABLE-GRANTS-FORMER-F-BC5FB2,ED Available Grants (former Forecast),Tier 2,unknown,UNKNOWN,False
EPA-BROWNFIELDS-GRANTS-AND-F-644929,EPA Brownfields Grants and Funding,Tier 2,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
EPA-SPECIFIC-GRANT-PROGRAMS-41B5BD,EPA Specific Grant Programs index,Tier 2,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
EPA-TRIBAL-AIR-AND-CLIMATE-R-3076D6,EPA Tribal Air and Climate Resources,Tier 2,unknown,UNKNOWN,False
EPA-TRIBAL-PORTAL-ENVIRONMEN-E9621E,EPA Tribal Portal (Environmental Protection in Indian Country),Tier 2,unknown,n/a,False
EPA-TRIBAL-WATER-FUNDING-OPP-05217A,EPA Tribal Water Funding Opportunities (CWA + SDWA hubs),Tier 2,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
FEMA-OPENFEMA-API-395C7C,FEMA OpenFEMA API,Tier 2,unknown,UNKNOWN,False
FHWA-TRIBAL-TRANSPORTATION-F-E9902D,FHWA Tribal Transportation Finance (tribal shares PDFs),Tier 2,likely_allowable,likely-allowable,True
GRANTS-GOV-MODIFIED-OPPS-RSS-AAA645,Grants.gov Modified-Opps RSS,Tier 2,unknown,UNKNOWN,False
HOMELAND-SECURITY-GRANT-PROG-078B2B,Homeland Security Grant Program (HSGP: SHSP/UASI/OPSG),Tier 2,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
HUD-EXCHANGE-TRIBAL-HOUSING-534C1A,HUD Exchange - Tribal Housing Priority Page,Tier 2,unclear,unclear,False
HUD-EXCHANGE-MAILING-LIST-068F1D,HUD Exchange Mailing List,Tier 2,unclear,unclear,False
HUD-EXCHANGE-NEWS-DAFB2D,HUD Exchange News,Tier 2,unknown,UNKNOWN,False
HUD-EXCHANGE-PROGRAM-INDEX-A-4C60C5,HUD Exchange Program Index (A-Z),Tier 2,unclear,unclear,False
HUD-EXCHANGE-PROGRAM-SUPPORT-628324,HUD Exchange Program Support / Community Compass TA,Tier 2,unclear,unclear,False
HUD-IHBG-FORMULA-IHBGFORMULA-AAD744,HUD IHBG Formula / ihbgformula.com,Tier 2,unclear,unclear,False
HUD-NATIVE-HAWAIIAN-PROGRAMS-830D0B,HUD Native Hawaiian Programs (incl. NHHBG),Tier 2,unclear,unclear,False
HUD-ONAP-NOTICES-PIH-NATIVE-B47208,HUD ONAP Notices (PIH - Native American Programs),Tier 2,unclear,unclear,False
HUD-TRIBAL-HUD-VASH-572F23,HUD Tribal HUD-VASH,Tier 2,unclear,unclear,False
IHS-DGM-CURRENT-NEWS-E66373,IHS DGM Current News,Tier 2,unknown,n/a,False
IHS-LISTSERV-EMAIL-GROUPS-70F349,IHS LISTSERV email groups,Tier 2,unknown,n/a,False
IHS-OFFICE-OF-TRIBAL-SELF-GO-82C768,IHS Office of Tribal Self-Governance,Tier 2,unclear,unclear,False
IHS-OFFICE-OF-URBAN-INDIAN-H-F6AE73,IHS Office of Urban Indian Health Programs,Tier 2,unclear,unclear,False
IHS-URBAN-LEADER-LETTERS-54C796,IHS Urban Leader Letters,Tier 2,unclear,unclear,False
IMLS-CURRENT-FY-NOFO-LIST-E050CD,IMLS Current-FY NOFO List,Tier 2,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
DOI-NPS-NAGPRA,NAGPRA Grants,Tier 2,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
NATIVE-AMERICAN-SERVING-NONT-937C0F,"Native American-Serving Nontribal Institutions (NASNTI, Title III-F)",Tier 2,unclear,unclear,False
NATIVE-HAWAIIAN-EDUCATION-PR-D023C8,Native Hawaiian Education Program (84.362A),Tier 2,unclear,unclear,False
DOI-BOR,Nature-Based Solutions and Native American Affairs,Tier 2,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
NIH-GUIDE-RSS-BC9C03,NIH Guide RSS,Tier 2,unknown,UNKNOWN,False
NIH-REPORTER,NIH RePORTER,Tier 2,unlikely_allowable,Not applicable,False
NIH-REPORTER-API-E82D6A,NIH RePORTER API,Tier 2,unknown,n/a,False
DOC-NOAA,NOAA Funding Opportunities,Tier 2,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
NOAA-SEA-GRANT-FUNDING-876BE6,NOAA Sea Grant Funding,Tier 2,unclear,unclear,False
NPS-HISTORIC-PRESERVATION-FU-703D44,NPS Historic Preservation Fund hub,Tier 2,unclear,unclear,False
