source_id,source_name,priority_tier,robots_or_terms_risk,terms_status,requires_login,monitoring_method,url,activation_blocked_reasons
HAZARD-MITIGATION-GRANT-PROG-FD574C,Hazard Mitigation Grant Program (HMGP),Tier 1,OK,TERMS_REVIEW_REQUIRED,yes (FEMA GO),static HTML page monitor,https://www.fema.gov/grants/mitigation/hazard-mitigation,requires_login:yes (FEMA GO);monitoring_not_started
HHS-HRSA,HRSA Find Funding,Tier 1,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,No,search endpoint monitor,https://www.hrsa.gov/grants/find-funding,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
HUD-IHBG-COMPETITIVE-IHBG-CO-AB76ED,HUD IHBG-Competitive (IHBG-COMP),Tier 1,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,Grants.gov apply,PDF/NOFO page monitor,https://www.hud.gov/helping-americans/public-indian-housing-ihbg-cgp,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;requires_login:Grants.gov apply;monitoring_not_started
HUD-INDIAN-COMMUNITY-DEVELOP-905C41,HUD Indian Community Development Block Grant (ICDBG),Tier 1,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,Grants.gov apply,PDF/NOFO page monitor,https://www.hud.gov/helping-americans/public-indian-housing-grants-icdbg,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;requires_login:Grants.gov apply;monitoring_not_started
HUD-INDIAN-HOUSING-BLOCK-GRA-9A8B5E,HUD Indian Housing Block Grant (IHBG),Tier 1,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,GEMS submission requires login,static HTML page monitor,https://www.hud.gov/helping-americans/public-indian-housing-ihbg,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;requires_login:GEMS submission requires login;monitoring_not_started
HUD-ONAP-CODETALK-HUB-5CA7C5,HUD ONAP Codetalk Hub,Tier 1,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://www.hud.gov/codetalk,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
HUD-ONAP-DEAR-TRIBAL-LEADER-162C81,HUD ONAP Dear Tribal Leader Letters,Tier 1,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,PDF/NOFO page monitor,https://www.hud.gov/helping-americans/public-indian-housing-tribal-letters,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
NSF-FUNDING,NSF Funding Opportunities,Tier 1,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,No,search endpoint monitor,https://www.nsf.gov/funding,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
NSF-PROGRAM-ANNOUNCEMENTS-RS-2B3EFD,NSF Program Announcements RSS,Tier 1,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,RSS/feed monitor,https://www.nsf.gov/rss/rss_www_funding_pgm_annc_inf.xml,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
FED-SAM-AL,SAM.gov Assistance Listings,Tier 1,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,No,search endpoint monitor,https://sam.gov/content/assistance-listings,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
SAM-GOV-ASSISTANCE-LISTINGS-BA260C,SAM.gov Assistance Listings and bulk data,Tier 1,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no for public data,API monitor,https://sam.gov/content/assistance-listings,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;requires_login:no for public data;monitoring_not_started
SAM-GOV-ASSISTANCE-LISTINGS-4DBA70,SAM.gov Assistance Listings API,Tier 1,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,yes_for_key,API monitor,https://api.sam.gov/assistance-listings/v1/search,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;requires_login:yes_for_key;monitoring_not_started
SIMPLER-GRANTS-GOV-API-485D8E,Simpler.Grants.gov API,Tier 1,OK,TERMS_REVIEW_REQUIRED,yes_for_key_issuance,API monitor,https://api.simpler.grants.gov,requires_login:yes_for_key_issuance;monitoring_not_started
SIMPLER-GRANTS-GOV-EXTRACTS-92CF68,Simpler.Grants.gov Extracts,Tier 1,OK,TERMS_REVIEW_REQUIRED,yes_for_key,API monitor,https://api.simpler.grants.gov/v1/extracts,requires_login:yes_for_key;monitoring_not_started
USDA-FNA-FORMERLY-FNS-FDPIR-9B6D21,USDA FNA (formerly FNS) FDPIR,Tier 1,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://www.fna.usda.gov/fdpir,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
USDA-FNA-FDPIR-SELF-DETERMIN-69D5C6,USDA FNA FDPIR Self-Determination Demonstration Project,Tier 1,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://www.fna.usda.gov/fdpir/self-determination,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
USDA-FNA-RSS-FEEDS-8-FEEDS-I-89D82C,USDA FNA RSS Feeds (8 feeds incl. FDPIR policy memos),Tier 1,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,RSS/feed monitor,https://www.fna.usda.gov/rss-feeds,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
USDA-NIFA-NOFO-LIST-RFA-LIST-0689AF,USDA NIFA NOFO List (RFA List),Tier 1,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://www.nifa.usda.gov/rfa-list,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
USDA-NIFA-RFA-LIST-201A26,USDA NIFA RFA List,Tier 1,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://www.nifa.usda.gov/grants/request-for-application-list-rfa,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
USDA-NIFA-TRIBAL-COLLEGES-RE-DEB1E1,USDA NIFA Tribal Colleges Research Grants Program (TCRGP),Tier 1,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://www.nifa.usda.gov/grants/funding-opportunities/tribal-colleges-research-grants-program,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
USDA-NIFA-TRIBAL-PROGRAMS-8F4CAD,USDA NIFA Tribal Programs,Tier 1,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://www.nifa.usda.gov/grants/programs/nifa-tribal-programs,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
USDA-NIFA-TRIBAL-PROGRAMS-HU-43CE05,USDA NIFA Tribal Programs Hub,Tier 1,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://www.nifa.usda.gov/grants/programs/nifa-tribal-programs,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
USDA-RD-ALL-PROGRAMS-DIRECTO-43D843,USDA RD All Programs Directory,Tier 1,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,search endpoint monitor,https://www.rd.usda.gov/programs-services/all-programs,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
USDA-RD-FEDERAL-FUNDING-OPPO-9761D9,USDA RD Federal Funding Opportunities,Tier 1,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://www.rd.usda.gov/newsroom/federal-funding-opportunities,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
USDA-RD-TRIBAL-GOVDELIVERY-T-B85B07,USDA RD Tribal GovDelivery (Tribal Updates),Tier 1,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,signup required,email bulletin/manual intake,https://public.govdelivery.com/accounts/USDARD/subscriber/new?category_id=USDARD_C148,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;requires_login:signup required;monitoring_not_started
USDA-RD-TRIBAL-RELATIONS-E1F93D,USDA RD Tribal Relations,Tier 1,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://www.rd.usda.gov/about-rd/tribal-relations,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
FIRST-NATIONS-DEVELOPMENT-IN-FD2A9C,First Nations Development Institute Grantmaking,Tier 1,OK,TERMS_REVIEW_REQUIRED,no for listings; Fluxx login to apply,static HTML page monitor,https://www.firstnations.org/grantmaking/,requires_login:no for listings; Fluxx login to apply;monitoring_not_started
NATIVE-AMERICANS-IN-PHILANTH-34379B,Native Americans in Philanthropy Grantwatch,Tier 1,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://nativephilanthropy.org/grants,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
CATAWBA-NATION-A16252,Catawba Nation,Tier 1,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://www.catawba.com/,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
SC-HOUSING-CHDO-CERTIFICATIO-C55EDF,SC Housing CHDO Certification,Tier 1,OK,TERMS_REVIEW_REQUIRED,Secure File Exchange yes,PDF/NOFO page monitor,https://schousing.sc.gov/development/community-housing-development-organizations,requires_login:Secure File Exchange yes;monitoring_not_started
SCEMD-MITIGATION-HMGP-56206E,SCEMD Mitigation / HMGP,Tier 1,OK,TERMS_REVIEW_REQUIRED,"applications yes, via the SC Recovery Grants system",static HTML page monitor,https://www.scemd.org/recover/mitigation,"requires_login:applications yes, via the SC Recovery Grants system;monitoring_not_started"
SCRA-TECH-CATALYST-FUND-72514E,SCRA Tech Catalyst Fund,Tier 1,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,UNKNOWN,static HTML page monitor,https://scra.org/get-to-know/tech-catalyst-fund/,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
BIA-ACCESS-TO-CAPITAL-CLEARI-84B5EF,BIA Access to Capital Clearinghouse (cross-agency lead),Tier 2,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,UNKNOWN,static HTML page monitor,https://www.bia.gov/atc,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
DOI-BIE,Bureau of Indian Education,Tier 2,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,No,static HTML page monitor,https://www.bie.edu/topic-page/grants,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
CDC-HEALTHY-TRIBES-C6B4C6,CDC Healthy Tribes,Tier 2,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://www.cdc.gov/healthy-tribes/about/index.html,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
CDC-TRIBAL-HEALTH-PROGRAMS-23E223,CDC tribal health programs,Tier 2,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://www.cdc.gov/healthy-tribes/about/index.html,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
CDC-ATSDR-TRIBAL-ADVISORY-CO-81690E,CDC/ATSDR Tribal Advisory Committee,Tier 2,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://www.cdc.gov/tribal-health/advisory/index.html,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
CLEAN-WATER-INDIAN-SET-ASIDE-628155,Clean Water Indian Set-Aside (CWISA),Tier 2,OK,TERMS_REVIEW_REQUIRED,IHS SDS access,PDF/NOFO page monitor,https://www.epa.gov/small-and-rural-wastewater-systems/clean-water-indian-set-aside-program,requires_login:IHS SDS access;monitoring_not_started
DOJ-GOVDELIVERY-EMAIL-BULLET-7ABC99,DOJ GovDelivery email bulletins,Tier 2,OK,TERMS_REVIEW_REQUIRED,yes (subscription),email bulletin/manual intake,https://public.govdelivery.com/accounts/USDOJ/subscriber/new,requires_login:yes (subscription);monitoring_not_started
DOJ-TRIBAL-ACCESS-PROGRAM-TA-E075AC,DOJ Tribal Access Program (TAP),Tier 2,OK,TERMS_REVIEW_REQUIRED,yes (portal for participants),static HTML page monitor,https://www.justice.gov/tribal/tribal-access-program-tap,requires_login:yes (portal for participants);monitoring_not_started
DOT-PROGRAMS-WITH-UNVERIFIED-384004,"DOT programs with unverified tribal terms (RAISE, Bridge Investment, Rural Surface Transportation, PROTECT, FAA AIP, Thriving Communities, state HSIP pass-through)",Tier 2,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,UNKNOWN,human review only,https://www.transportation.gov/grants,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_method:human_review_only;monitoring_not_started
EPA-BROWNFIELDS-GRANTS-AND-F-644929,EPA Brownfields Grants and Funding,Tier 2,OK,TERMS_REVIEW_REQUIRED,ACRES login for grantee reporting,PDF/NOFO page monitor,https://www.epa.gov/brownfields/grants-and-funding,requires_login:ACRES login for grantee reporting;monitoring_not_started
FEMA-OPENFEMA-API-395C7C,FEMA OpenFEMA API,Tier 2,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,API monitor,https://www.fema.gov/api/open/v2,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
HUD-EXCHANGE-TRIBAL-HOUSING-534C1A,HUD Exchange - Tribal Housing Priority Page,Tier 2,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://www.hudexchange.info/programs/priority-tribal/,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
HUD-EXCHANGE-MAILING-LIST-068F1D,HUD Exchange Mailing List,Tier 2,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,signup required,email bulletin/manual intake,https://www.hudexchange.info/mailinglist/,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;requires_login:signup required;monitoring_not_started
HUD-EXCHANGE-NEWS-DAFB2D,HUD Exchange News,Tier 2,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://www.hudexchange.info/news/,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
HUD-EXCHANGE-PROGRAM-INDEX-A-4C60C5,HUD Exchange Program Index (A-Z),Tier 2,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://www.hudexchange.info/programs/,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
HUD-EXCHANGE-PROGRAM-SUPPORT-628324,HUD Exchange Program Support / Community Compass TA,Tier 2,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,Ask-A-Question requires account,static HTML page monitor,https://www.hudexchange.info/program-support/,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;requires_login:Ask-A-Question requires account;monitoring_not_started
HUD-IHBG-FORMULA-IHBGFORMULA-AAD744,HUD IHBG Formula / ihbgformula.com,Tier 2,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,UNKNOWN,static HTML page monitor,https://ihbgformula.com/fy2027/,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
HUD-NATIVE-HAWAIIAN-PROGRAMS-830D0B,HUD Native Hawaiian Programs (incl. NHHBG),Tier 2,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://www.hud.gov/helping-americans/public-indian-native-hawaiian-housing,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
HUD-ONAP-NOTICES-PIH-NATIVE-B47208,HUD ONAP Notices (PIH - Native American Programs),Tier 2,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,PDF/NOFO page monitor,https://www.hud.gov/hudclips/notices/pih-native-american-programs,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
HUD-TRIBAL-HUD-VASH-572F23,HUD Tribal HUD-VASH,Tier 2,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://www.hud.gov/helping-americans/public-indian-housing-tribal-hud-vash,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
IHS-LISTSERV-EMAIL-GROUPS-70F349,IHS LISTSERV email groups,Tier 2,OK,TERMS_REVIEW_REQUIRED,subscription,email bulletin/manual intake,https://www.ihs.gov/listserv/,requires_login:subscription;monitoring_not_started
NIH-REPORTER,NIH RePORTER,Tier 2,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,No,API monitor,https://api.reporter.nih.gov/,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
NIH-REPORTER-API-E82D6A,NIH RePORTER API,Tier 2,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,API monitor,https://api.reporter.nih.gov,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
NPS-HPF-GRANTS-EMAIL-BULLETI-12A869,NPS HPF grants email bulletin,Tier 2,OK,TERMS_REVIEW_REQUIRED,subscription,email bulletin/manual intake,https://www.nps.gov/subjects/historicpreservationfund/bulletin-update.htm,requires_login:subscription;monitoring_not_started
NSF-UPCOMING-DUE-DATES-RSS-59C55A,NSF Upcoming Due Dates RSS,Tier 2,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,RSS/feed monitor,https://www.nsf.gov/rss/rss_www_funding_upcoming.xml,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
NASA-NSPIRES,NSPIRES,Tier 2,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,Varies,search endpoint monitor,https://nspires.nasaprs.com/,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;requires_login:Varies;monitoring_not_started
REGULATIONS-GOV-API-V4-EC2949,Regulations.gov API v4,Tier 2,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,yes_for_key,API monitor,https://open.gsa.gov/api/regulationsgov/,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;requires_login:yes_for_key;monitoring_not_started
SAFE-STREETS-AND-ROADS-FOR-A-A7DBA0,Safe Streets and Roads for All (SS4A),Tier 2,OK,TERMS_REVIEW_REQUIRED,Grants.gov to apply,static HTML page monitor,https://www.transportation.gov/grants/SS4A,requires_login:Grants.gov to apply;monitoring_not_started
SBA-8-A-BUSINESS-DEVELOPMENT-4A0E16,SBA 8(a) Business Development Program,Tier 2,OK,TERMS_REVIEW_REQUIRED,yes (certify.sba.gov),static HTML page monitor,https://www.sba.gov/certifications/,requires_login:yes (certify.sba.gov);monitoring_not_started
FED-USA,USAspending,Tier 2,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,No,API monitor,https://api.usaspending.gov/,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
USDA-FNA-FUNDING-GRANTS-INDE-AEC1F6,USDA FNA Funding / Grants Index,Tier 2,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://www.fna.usda.gov/grants,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
USDA-NIFA-FEDERALLY-RECOGNIZ-E11F8B,USDA NIFA Federally-Recognized Tribes Extension Program (FRTEP),Tier 2,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://www.nifa.usda.gov/grants/programs/federally-recognized-tribes-extension-program-frtep,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
USDA-NIFA-NEW-BEGINNING-FOR-A30EDF,USDA NIFA New Beginning for Tribal Students (NBTS),Tier 2,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://www.nifa.usda.gov/grants/funding-opportunities/new-beginning-tribal-students-program,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
USDA-NIFA-TRIBAL-COLLEGES-ED-8A43AF,USDA NIFA Tribal Colleges Education Equity Grants (TCEG),Tier 2,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://www.nifa.usda.gov/grants/programs/tribal-colleges-equity-grants-program-tceg,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
