source_id,source_name,priority_tier,allowability_class,raw_allowability_value,on_watchlist
CISA-SLCGP,State and Local Cybersecurity Grant Program,Tier 1,likely_allowable,Likely allowable,True
DOT-GRANTS,DOT Grants,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
DOT-FTA-TRIBAL,Tribal Transit Program,Tier 2,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
ED-OIE,Office of Indian Education,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
DOL-DINAP,Division of Indian and Native American Programs,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
NSF-FUNDING,NSF Funding Opportunities,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
NASA-NSPIRES,NSPIRES,Tier 2,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
SC-BEAD,South Carolina Broadband Office BEAD,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
SC-EMD-HMGP,SCEMD Hazard Mitigation Grant Program,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
SC-EMD-PA,SCEMD Public Agency Assistance,Tier 1,sometimes_allowable,Sometimes allowable depending on incident/category,False
SC-ED,SC Department of Education Grant Opportunities,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
SC-DHHS,SCDHHS Grants,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
SC-COMMERCE,SC Commerce Grants and Incentives,Tier 2,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
SC-DES-WATER,SC DES Grants and Loans,Tier 2,sometimes_allowable,Sometimes allowable depending on program,False
SC-ENERGY,South Carolina Energy Office,Tier 2,sometimes_allowable,Sometimes allowable depending on program,False
SC-DEW,SC Department of Employment and Workforce,Tier 2,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
SC-SCORF,SCORF Grant Management System,Tier 4,sometimes_allowable,Sometimes allowable depending on program,False
PRIV-NDN,NDN Collective grantmaking,Tier 3,unclear,Unclear,False
PRIV-FNT,First Nations Development Institute Grants,Tier 3,sometimes_allowable,Sometimes allowable depending on call,False
